league_chat.feedback	Feedback & Comments	反馈与建议
serverError.LEADERBOARD_1	Oops! Invalid leaderboard. Please try again.	排行榜不合法，请重试！
serverError.COUNTRY_1	Oops! Try a different country.	请选择其他的国家！
serverError.COMPETITION_5	User is not enrolled in this competition.	用户未加入当前比赛！
serverError.COMPETITION_3	Join token does not exist.	邀请码不存在！
serverError.COMPETITION_2	The competition does not exist.	比赛不存在！
serverError.FACEBOOK_4	Oops! This Facebook account is already in use.	该Facebook账号已经在使用！
serverError.WHEEL_3	Could not find a prize.	未找到奖励！
serverError.GENERAL_1	Oops! We're sorry. Please try again.	抱歉请重试！
serverError.SIGNIN_2	Incorrect username or password.	用户名/密码错误！
serverError.FACEBOOK_3	Oops! This Facebook account is already in use.	该Facebook账号已经在使用！
serverError.DISCUSSION_3	Oops! Please try again.	抱歉请重试！
serverError.COMPETITION_7	You cannot join a competition that is in preview mode.	不能加入到预览模式的比赛中！
serverError.GENERAL_2	Oops! Your User ID is invalid.	用户ID不合法！
serverError.WHEEL_6	The requested amount is bigger than your balance.	请求数量大于可以用数额！
serverError.WHEEL_5	Requested amount is lower than minimum payout.	请求数量小于最小数额！
serverError.COUPON_4	One or more predictions were already played before.	已经参与过一场或一场以上的预测！
serverError.SIGNIN_1	Oops! Your email is invaild.	您的邮箱地址无效！
serverError.VERSION_2	New features added! Please update FootballHero in the app store.	请下载新版本的FootballHero获取新特性！
serverError.COMPETITION_4	You are already enrolled in this competition.	您已加入当前的比赛！
serverError.WHEEL_4	User has never spinned the wheel.	用户还未使用过转盘次数
serverError.FACEBOOK_1	Oops! There seems to be an error. Please try again.	软件发生了错误！请重试！
serverError.WHEEL_1	Your last spin was less than 24 hours ago.	距离上一次使用转盘次数时间小于一天！
serverError.LEAGUE_1	Oops! Try a different league.	请选择其他的联赛！
serverError.WHEEL_2	Price probabilities don't add up.	Price probabilities don't add up.
serverError.DISCUSSION_2	Oops! Please try again.	请重试！
serverError.DISCUSSION_1	Oops! Please try again.	请重试！
serverError.SIGNIN_4	Email and/or password cannot be empty.	邮箱/密码不能为空
serverError.COUPON_2	Too many predictions on coupon.	Too many predictions on coupon.
serverError.FACEBOOK_5	Oops! We're sorry. Please try again later.	抱歉请重试！
serverError.COMPETITION_8	Share Bonus already claimed.	分享奖励已发放！
serverError.COUPON_5	Last big bet was less than 12 hours ago.	距离上一次使用三倍押分时间小于12小时！
serverError.COMPETITION_1	You already created a competition with that name before.	您已经创建过相同名字的比赛了
serverError.VERSION_1	Please update latest version in the app store.	请在app store中下载最新版本的软件
serverError.SIGNIN_3	Email address does not exist.	邮箱不存在
terms_agree	By Signing in, you are indicating that you have read and agree to FOOTBALL HERO'S	登陆即表示您同意FootballHero的相关服务条款
marketing_message_1	Congratulations on making your first prediction!	恭喜！你刚刚完成了你的第一场预测！
football_hero	FootballHero	FootballHero
month.1	January	一月
month.2	February	二月
month.3	March	三月
month.4	April	四月
month.5	May	五月
month.6	June	六月
month.7	July	七月
month.8	August	八月
month.9	September	九月
month.10	October	十月
month.11	November	十一月
month.12	December	十二月
chat_room_title	Select Chatroom	选择聊天室
minigame.friend_help	friend(s) have helped you	已经帮助过你的朋友
minigame.ask_more_friends	Ask more friends!	寻求更多的帮助！
minigame.goal_to_win	%d goals remaining to win	还需要 %d 个进球
minigame.winners	Past Winners	胜者记录
minigame.ask_friends_help	Ask friends to help!	找朋友来帮忙！
minigame.title	Shoot-to-Win Challenge	进球赢奖品-挑战活动
minigame.shoot_to_win_won	You have won!	你赢了！
minigame.rules	Rules	规则说明
minigame.no_one_won	No one has won an Samsung Note Edge yet.	暂无玩家赢得 Samsung Note Edge
minigame.call_to_action	No one has scored any goals for you yet.	暂未有人帮你获得过进球
minigame.helped_to_score	has helped you to score %d goals	已经帮助你获得了 %d 个进球
minigame.iPhone6_winner	Samsung Note Edge Winner	Samsung Note Edge 获得者
minigame.failed_to_score	failed to score any goals	未能获得任何进球
minigame.current_score	Current Score:	当前进球数:
marketing_message_2	Now challenge your friends in your own mini-competition!	现在邀请朋友加入到你创建的预测游戏中来吧
email_confirm	E-mail Address Confirm	确认邮箱地址
match_prediction.share	Share with your friends	分享给好友
match_prediction.hint_tap	Tap to make a prediction!	点击开始预测
match_prediction.win	Win	胜
match_prediction.team_to_win	Which team will win?	哪支球队会获得胜利
match_prediction.stand_to_win	Stand to Win	押分此项
match_prediction.will_total_goals	Will total goals be %d or more?	总进球数是否会达到 %d 球或更多?
match_prediction.balance	Balance	可用分数
match_prediction.prediction_summary	Prediction Summary	预测汇总
match_prediction.facebook	Facebook	Facebook
match_prediction.will_win_by	Will %s win by %d goals or more?	%s 会净胜 %d 球或更多吗?
match_prediction.stake	Stake	押分
